an,venituri_totale,alte_venituri,profit_exploatare,profit_inainte_impozit,profit_net,impozit_profit,amortizare,cheltuieli_angajati,cheltuieli_apa_uzinata,energie_achizitionata,transport_distributie,taxa_producatori,venituri_financiare,cheltuieli_financiare,eps_ron,total_active,active_imobilizate,active_circulante,imobilizari_corporale,creante_comerciale,numerar_echivalente,investitii_depozite,total_capitaluri_proprii,rezerva_reevaluare,total_datorii,datorii_termen_lung,datorii_curente,imprumuturi_bancare_total,ebitda,marja_ebitda_pct,marja_neta_pct,marja_operationala_pct,rata_datorii_capitaluri,roe_pct,roa_pct,rata_curenta,leverage,crestere_venituri_pct,crestere_profit_net_pct,ponderea_furnizare_pct,an_performant
2021,6489297000,175347000,3755657000,3784751000,3116149000,668602000,760503000,589838000,540145000,90121000,110416000,133417000,73150000,44056000,6.95,22761704000,18243183000,4518521000,18000990000,663528000,1104890000,2561467000,19183517000,9612905000,3578187000,2570201000,1007986000,577796000,4516160000,69.59,48.02,57.87,0.1865,16.24,13.69,4.4827,1.1865,,,,0
2022,9451955000,46249000,5208351000,5417436000,4464000000,953436000,772150000,630723000,450963000,697142000,498055000,671739000,247196000,38111000,9.95,25432233000,20198244000,5233989000,19521363000,1350677000,660734000,3034745000,21586850000,11021335000,3845383000,2840648000,1004735000,484492000,5980501000,63.27,47.23,55.1,0.1781,20.68,17.55,5.2093,1.1781,45.65,43.25,,1
2023,12160184000,34780000,7200384000,7459127000,6365330000,1093797000,799313000,717478000,639206000,456163000,1207650000,225159000,319352000,60609000,14.17,29109164000,21069159000,8040005000,20426654000,3047968000,407634000,4349482000,25021234000,12038616000,4087930000,3015841000,1072089000,393535000,7999697000,65.79,52.35,59.21,0.1634,25.44,21.87,7.4994,1.1634,28.65,42.59,40.59,1
2024,9122709143,223954330,4588028384,4844595033,4127915792,716679241,904968113,866329938,517805427,208848067,1228392210,234654212,342025483,85458834,9.18,26977226641,19938448571,7038778070,19816398176,1633688425,1581617072,3475932995,22896466986,11580347711,4080759655,3028549653,1052210002,300732276,5492996497,60.21,45.25,50.29,0.1782,18.03,15.3,6.6895,1.1782,-24.98,-35.15,39.48,0
2025,9619009529,121653606,3719039680,3958444782,3369693635,588751147,882878794,1019751138,444764067,911358305,1634837904,122721182,325828597,86423495,7.49,26702028074,19863065958,6838962116,19398954109,1698377642,1187733975,3732016142,22225130500,11110747401,4476897574,2953428369,1523469205,213315268,4601918474,47.84,35.03,38.66,0.2014,15.16,12.62,4.4891,1.2014,5.44,-18.37,57.22,0
