an,venituri_totale,profit_exploatare,profit_inainte_impozit,profit_net,amortizare,cheltuieli_angajati,energie_achizitionata,transport_distributie,taxa_producatori,eps_ron,total_active_indiv,capitaluri_proprii_indiv,total_datorii_indiv,numerar_indiv
2023,12159373344,7177995421,7442948563,6352326530,795353429,604962842,456162844,1207650147,225159036,14.14,,,,
2024,9123148860,4527196337,4780428811,4071551582,896091345,676554906,208848067,1228392210,234654212,9.05,26889908863.0,22816427630.0,4073481233.0,1356523240.0
2025,9622795031,3685596950,3915442637,3337517121,871938024,778485394,911358305,1634837904,122721182,7.42,26557966015.0,22110557156.0,4447408859.0,816143749.0
