an,pret_mediu_energie_ron_mwh,productie_hidro_gwh,productie_nationala_gwh,consum_national_gwh,pret_gaze_ttf_eur_mwh,curs_eur_ron,index_precipitatii,inflatie_pct,nr_angajati,pondere_hidro_national_pct,export_net_gwh,pret_gaze_ron_mwh
2021,388.5,16930,61200,54800,16.2,4.9204,98,5.1,3850,27.7,6400,79.7
2022,712.3,14820,58900,55200,122.5,4.9314,72,13.8,3820,25.2,3700,604.1
2023,450.0,18790,62400,54600,43.1,4.9471,118,10.4,3890,30.1,7800,213.2
2024,520.0,16200,59800,53900,34.2,4.9742,88,5.4,3950,27.1,5900,170.1
2025,480.0,14100,57500,54100,41.5,5.0812,71,4.1,4050,24.5,3400,210.9
